Trinity.gene	target	group	CA	WA	CO	KS	MI	OH.1	OH.2	OH.3	PA	CA	WA	CO	KS	MI	OH.1	OH.2	OH.3	PA	CA	WA	CO	KS	MI	OH.1	OH.2	OH.3	PA
TRINITY_DN51057_c0_g1	abr1	group1	22.427	0.709	5.663	0.911	22.873	3.513	127.32	0	0.126	0	0	0	0.015	0.026	0	0.096	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN35090_c0_g1	alp1	group1	0.347	2.834	0.056	5.193	0	110.464	1.12	0	71.495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187
TRINITY_DN3379_c2_g1	alp2	group1	98.369	0.468	27.144	2.312	6.255	122.472	12.763	0	2.225	0.132	0.094	0	1.316	0	0.186	0.06	0	0.413	0	0.158	0	0	0	0	0	0.372	0
TRINITY_DN8671_c0_g1	ALTA7	group1	66.24	21.197	137.779	1.205	147.523	24.788	295.776	1.774	42.422	1.271	1.622	7.019	7.838	8.116	3.335	40.124	0.577	4.732	0.416	0.404	0	0	0.429	0.203	0	0.305	0.672
TRINITY_DN13900_c0_g2	arp1	group1	77.403	4.66	64.703	1.34	74.325	7.299	256.972	0	0.897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN13993_c0_g1	arp2	group1	54.759	10.292	201.684	4.845	114.561	14.923	452.993	0.138	1.258	0	0	0	0	0.105	0	0	0	0.027	0	0	0	0	0.429	0	0	0	0
TRINITY_DN60428_c0_g1	atfB	group1	38.68	25.917	28.573	1.217	226.809	35.202	175.526	13.099	18.841	0	0	0	0	0	0	0.099	0	0	0	0	0	0	0	0	1.498	0	0
TRINITY_DN6303_c0_g1	ayg1	group1	59.661	2.03	31.989	1.413	171.294	7.524	199.675	0	0.297	0	0.063	0	0	0.137	0	0	0.052	0	0	0	0	0	0	0	0	0	0
TRINITY_DN81095_c0_g1	brlA	group1	0.202	1.345	0.111	0.024	0.7	1.295	5.307	0.043	8.823	0	0.079	0	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN22030_c0_g1	catA	group1	99.251	119.232	161.618	4.465	1049.023	483.609	689.837	46.096	79.629	0.024	1.094	0.008	0	0.084	0.069	0.018	0.169	0.008	0	1.299	0	0.046	0.874	0.254	1.148	0.524	0.056
TRINITY_DN19513_c0_g2	ccg-6	group1	1.75	97.062	30.374	736.78	9.511	0	6.685	0	767.487	0.096	0	0	2.342	0.047	0	0	0	0	0	0	0	0.312	0	0	0	0.372	0
TRINITY_DN1945_c0_g1	gel1	group1	2.82	110.393	5.83	3.291	0	178.002	10.706	0	78.226	0	2.393	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0.159	0	0
TRINITY_DN8726_c1_g1	gel2	group1	1.056	3.171	2.376	0.373	10.409	66.916	15.206	0.451	2.326	0	0.094	0	0	0	9.725	2.725	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN34293_c0_g1	gna-3	group1	3.282	9.271	9.766	0.061	26.829	13.976	32.707	1.115	6.459	0.006	0.055	0	0	0	0.01	0.081	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN8361_c0_g1	hsp30	group1	63.68	248.685	103.153	2.288	473.873	267.614	741.294	15.851	60.813	0.144	0	0	0	0	0	0.071	0.026	0	0	0.176	0	0.196	0	0	0.112	0	0
TRINITY_DN166_c0_g4	katG	group1	102.461	0.937	14.389	3.945	27.225	146.413	0.808	0.019	12.59	0.072	0	0	0.903	0	0.039	0	0	0.113	0	0	0.633	0	0	0	0	0	0
TRINITY_DN46210_c0_g1	mpg1	group1	2.632	9.235	6.572	0.257	19.038	8.819	44.368	1.077	5.17	0	0.063	0.028	0	0	0.343	1.023	0	0.062	0	0	0	0	0	0	0.159	0	0
TRINITY_DN18611_c0_g1	mtlD	group1	5.046	10.557	7.594	0.324	37.482	247.659	69.95	1.907	65.693	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0.168
TRINITY_DN13539_c0_g1	napA	group1	19.998	1.309	11.492	0.031	17.699	1.146	41.063	0.014	0.133	0.018	0	0.028	0.092	0.179	0	0.988	0	0.016	0	0.079	0	0	0	0	0	0	0
TRINITY_DN5789_c0_g1	nrc-2	group1	1.504	5.597	1.801	0.092	14.731	8.396	20.348	0.261	5.094	0	0.031	0	0	0	0	0.032	0	0.051	0	0	0	0	0	0	0	0	0
TRINITY_DN5894_c0_g2	nuo-49	group1	14.084	13.019	28.183	0.379	99.419	61.261	92.226	4.626	27.676	0	0.63	0.128	0.612	0.053	0.981	1.48	0.084	2.943	0.101	1.001	0	1.294	1.335	0.288	0.638	0	1.232
TRINITY_DN8019_c0_g1	pkaR	group1	10.801	23.635	28.128	0.324	97.791	48.007	116.944	5.826	30.47	0	0.087	0.008	0	0	0.034	0.357	0	0.148	0	0	0	0	0.286	0.051	0.51	0	1.306
TRINITY_DN1656_c0_g1	rodA	group1	3.543	3.315	56.088	3.407	96.802	14.026	190.346	7.885	24.567	0	1.811	0	0	0	0	0.577	0	0	0	0	0	0	0.636	0	0	0	0
TRINITY_DN17345_c0_g2	sun1	group1	0	3.074	0.037	52.122	0	8.769	6.574	0.081	11.515	0	0	0	0	0.011	0	0	0	0	0	0.07	0	1.352	0	0.17	0	0.085	0.373
TRINITY_DN2023_c0_g1	tpsA	group1	10.237	7.014	27.942	0	86.225	12.755	47.729	6.832	7.003	0	0	0	0	0	0	0	0.026	0	0	0.228	0	0	0	0	0	0	0
TRINITY_DN1053_c0_g4	velB	group1	3.123	11.529	10.323	0.018	35.914	11.634	40.512	1.49	6.036	0	0	0	0	0.084	0	0.12	0	0.047	0	0	0	0	0	0.068	0	0	0
TRINITY_DN2690_c0_g1	vosA	group1	82.955	2.87	9.859	0	14.655	7.075	11.918	0.702	12.59	0.012	0	0	0	0.021	0	0	0	0.043	0	0	0	0	0	0.153	0	0	0.037
TRINITY_DN372_c0_g1	wA	group1	39.446	5.945	146.301	0.612	98.78	7.125	152.387	0.512	1.555	0.042	0.016	0.004	0	0.016	0	0	0	0.004	0	0.026	0	0	0.016	0	0.016	0	0
TRINITY_DN285_c0_g2	wetA	group1	4.034	7.182	15.837	0.11	45.654	15.346	39.649	3.278	20.497	0	0.118	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0
TRINITY_DN7974_c0_g2	bimG	group2	12.002	1.081	8.986	0.153	11.52	4.908	51.953	0.455	0	0.06	0.362	0.538	0.796	1.39	0.196	6.081	0.065	0.121	0	0	0	0	0	0	0	0	0
TRINITY_DN29306_c0_g1	bipA	group2	8.589	1.813	6.461	0.165	7.396	0.199	38.161	0.19	2.566	0.936	0.543	1.205	4.516	2.096	1.314	41.529	0.104	3.075	0	0	0	0	0	0.424	0.223	0.609	0
TRINITY_DN12451_c0_g1	camA	group2	4.598	16.453	12.681	0.263	32.369	21.599	38.033	1.627	21.027	0.246	0.425	0.253	3	0.327	1.967	2.262	0.467	0.608	0.079	0.307	0	0.636	0	0	0.478	0.355	0.131
TRINITY_DN3575_c0_g1	Canx homolog	group2	6.088	4.564	5.087	14.209	10.15	8.72	9.311	10.167	11.098	11.245	8.778	43.942	118.728	21.145	54.736	5.359	14.346	26.313	0.797	0.29	0.938	1.422	0	0.085	0.191	1.743	0.411
TRINITY_DN10372_c0_g1	crzA	group2	2.386	10.436	2.079	0.043	14.274	5.207	21.523	3.055	7.654	1.901	0.079	1.409	6.001	1.353	0.745	0.58	4.434	1.446	0	0	0	0	0	0	0.287	0.068	0
TRINITY_DN20577_c0_g2	ecm33	group2	6.637	16.489	23.078	1.285	12.707	0.349	87.12	0.493	2.111	0.204	4.905	3.815	1.072	4.329	0.432	44.824	0	0.511	0	0	0	0	0	0	0	0	0
