Trinity.gene	target	CA	WA	CO	KS	MI	OH.1	OH.2	OH.3	PA	CA	WA	CO	KS	MI	OH.1	OH.2	OH.3	PA	CA	WA	CO	KS	MI	OH.1	OH.2	OH.3	PA
TRINITY_DN290926_c0_g1	abaA	0	0	0	0	0	0	0	0.114	0	1.038	0	0.092	0.23	0.679	0.711	0.219	0	0.92	0	0	0	0	0	0	0	0	0
TRINITY_DN2841_c0_g2	candA-C	0.289	0	1.114	0.012	0	0.249	0	9.787	0	2.753	0.205	5.337	17.727	2.681	7.366	0.382	1.899	3.648	0	0	0.094	0	0	0	0.032	0	0
TRINITY_DN21893_c0_g2	candA-N	0.072	0	0.111	0	0.107	0.1	0	4.379	0	4.504	0.039	2.686	16.242	1.759	3.251	0.375	2.425	2.674	0	0	0.235	0	0	0	0	0.744	0
TRINITY_DN9867_c0_g2	cap2	2.834	3.591	4.549	0	3.211	0	17.685	3.079	0.183	10.831	2.795	21.226	63.375	9.985	32.78	7.129	11.928	9.093	0	0.448	0	0	0	0	1.164	3.045	0
TRINITY_DN19748_c0_g1	catB	0.087	0	0.26	0	0	0.149	0	0.052	0	8.175	26.483	29.438	54.511	38.772	40.411	13.765	3.209	14.343	0	0	0	0	0	0	0	0.575	0
TRINITY_DN1725_c0_g1	ccg-8	0.231	0	0.223	0	0	0	0	2.847	0	15.246	0.118	7.774	25.794	3.086	6.881	0.605	4.583	9.366	0	0	0	0	0	0	0	0.102	0
TRINITY_DN2314_c0_g2	chsA	0	0	0	0	0	0.05	0	7.809	0	7.731	17.485	2.305	11.588	5.614	3.301	0.35	3.624	3.847	0	0.983	0	0	0	0.051	0	0	0
TRINITY_DN48838_c0_g1	chsC	0	0	0	0	0	0	0	0.479	0	2.969	0.071	4.385	8.465	1.127	3.374	0.191	4.194	2.444	0	0	0	0	0	0	0	1.489	0
TRINITY_DN6916_c0_g1	dop1	7.259	0	17.972	0	0.837	1.146	0	22.758	0	16.583	0	16.657	40.933	3.028	10.77	2.163	29.963	9.346	0	0	0	0	0	0	0	0.237	0
TRINITY_DN11446_c0_g1	flbA	0	0	0.167	0	0	0.05	0	1.181	0	3.82	2.976	4.092	16.502	6.983	5.669	0.35	0.292	3.648	0.382	0.527	0	0	0	0	0	0.135	0
TRINITY_DN219195_c0_g1	fluG	0	0	0	0	0	0	0	1.248	0	4.012	0	8.264	22.839	7.931	7.067	0.899	7.436	8.446	0	0	0	0	0	0	0	0	0
TRINITY_DN4298_c0_g1	gpaA	1.374	1.177	2.581	1.407	4.428	3.239	8.448	2.486	3.463	19.312	9.132	22.399	59.992	12.529	29.44	10.845	9.782	27.038	0	0.334	0	0.381	0	0.119	0.861	0.541	0.131
TRINITY_DN35531_c0_g1	grrA	0.014	0	0.316	0	0.213	0	0	4.018	0	1.241	0.016	3.285	12.491	1.806	4.801	0.223	3.248	2.557	0	0	0	0	0	0	0	0.271	0
TRINITY_DN10742_c0_g1	hymA	0	0	0	0	0	0	0	0.622	0	2.309	3.897	2.393	6.996	3.708	6.905	0	0.37	0.916	0	0	0	0	0	0	0	0	0
TRINITY_DN16965_c0_g1	laeA	0	0	0	0	0	0	0	0.427	0	11.203	0.094	29.655	60.175	4.766	22.187	19.973	12.505	15.353	0.416	0	0	0	0	0	0	0	0
TRINITY_DN10244_c0_g1	nudA	0	5.164	0	0.275	0	3.139	0.165	1.442	4.418	9.77	2.149	8.047	19.671	5.777	11.633	0.888	28.381	6.579	0	0	0	0	0	0	0.112	0	0
TRINITY_DN15642_c0_g1	nudG	3.89	0	6.665	0	0.533	1.071	0	17.307	0	38.06	0.126	60.952	151.502	27.549	44.864	4.007	19.519	38.103	0	0	0	0	0	0	0	2.453	0
TRINITY_DN15743_c0_g2	ppoA	0	0	0	0	0	0	0	0	0	1.589	0.008	8.095	2.388	0.2	0.206	0.025	0.091	0.265	0	0	0	0	0	0	0	0	0
TRINITY_DN13764_c0_g1	rhoC	0	0	0	0	0	0	0	1.015	0	5.05	3.936	8.621	22.074	10.333	4.169	0.485	5.361	6.797	0.337	0.237	0	0	0	0	0	0.085	0
TRINITY_DN22023_c0_g1	ro-3	0.13	0	0	0	0.046	0	0	0.09	0	6.285	11.234	0.064	0.26	6.215	0.589	0	0.026	1.263	0.168	1.027	0	0	0	0	0	0	0
