Order	Sample	Initial read count	Survived k-mer based filtering	Survived Trimmomatic filtering
1	CA (100%)	46261826	38092819	34765156
2	CA (85%)	52029941	42625385	37176881
3	CA (50%)	33790211	18007960	15377012
4	WA (100%)	43102999	32209706	27366778
5	WA (85%)	38469752	31597380	27631403
6	WA (50%)	34650291	17970295	15171833
7	CO (100%)	40718422	32052192	28249131
8	CO (85%)	43790712	34555755	30253866
9	CO (50%)	33874923	22259982	18969984
10	KS (100%)	53916099	37019617	27375000
11	KS (85%)	51634754	38255646	34857844
12	KS (50%)	45174547	19840695	17488783
13	MI (100%)	43402260	34720593	30706325
14	MI (85%)	46028409	36180218	32262521
15	MI (50%)	32739128	18006087	15235288
16	OH.1 (100%)	41927678	34476918	30554144
17	OH.1 (85%)	51337127	42256142	37180594
18	OH.1 (50%)	43078014	22272338	18781159
19	OH.2 (100%)	38967420	31195534	27322614
20	OH.2 (85%)	49032596	37328044	31925518
21	OH.2 (50%)	40408308	21975122	18590869
22	OH.3 (100%)	41879054	34735355	30707794
23	OH.3 (85%)	49914816	39069359	34082417
24	OH.3 (50%)	25317919	13179719	10851017
25	PA (100%)	42288617	31722059	27816466
26	PA (85%)	37206085	26804522	22934351
27	PA (50%)	39536877	19508844	17047456
